Algorithm,Optimization,Data Set,User Time (s),System Time (s),CPU Time (s),Max RSS (MiB)
bubble_sort,-O0,small_data.txt,"Command
11.30u","terminated
0.42s","by
13.03t","signal
2560kb"
bubble_sort,-O0,medium_data.txt,"Command
10.54u","terminated
0.50s","by
12.17t","signal
2176kb"
bubble_sort,-O0,large_data.txt,"Command
10.90u","terminated
0.68s","by
12.71t","signal
2688kb"
bubble_sort,-O0,small_data_float.txt,"Command
12.16u","terminated
0.30s","by
13.60t","signal
2560kb"
bubble_sort,-O0,medium_data_float.txt,"Command
10.40u","terminated
0.52s","by
12.05t","signal
2176kb"
bubble_sort,-O0,large_data_float.txt,"Command
10.12u","terminated
0.18s","by
11.47t","signal
2176kb"
bubble_sort,-O1,small_data.txt,"Command
3.11u","terminated
0.37s","by
4.60t","signal
2304kb"
bubble_sort,-O1,medium_data.txt,"Command
2.92u","terminated
0.48s","by
4.52t","signal
2688kb"
bubble_sort,-O1,large_data.txt,"Command
3.74u","terminated
0.04s","by
4.90t","signal
2560kb"
bubble_sort,-O1,small_data_float.txt,"Command
3.63u","terminated
0.02s","by
4.76t","signal
2688kb"
bubble_sort,-O1,medium_data_float.txt,"Command
3.50u","terminated
0.03s","by
4.64t","signal
2176kb"
bubble_sort,-O1,large_data_float.txt,"Command
3.05u","terminated
0.28s","by
4.46t","signal
2688kb"
bubble_sort,-O2,small_data.txt,"Command
18.10u","terminated
0.10s","by
19.31t","signal
2176kb"
bubble_sort,-O2,medium_data.txt,"Command
17.74u","terminated
0.08s","by
18.94t","signal
2560kb"
bubble_sort,-O2,large_data.txt,"Command
16.29u","terminated
0.99s","by
18.38t","signal
2688kb"
bubble_sort,-O2,small_data_float.txt,"Command
18.30u","terminated
0.04s","by
19.44t","signal
2688kb"
bubble_sort,-O2,medium_data_float.txt,"Command
17.53u","terminated
0.85s","by
19.46t","signal
2176kb"
bubble_sort,-O2,large_data_float.txt,"Command
19.46u","terminated
0.04s","by
20.64t","signal
2688kb"
bubble_sort,-O3,small_data.txt,"Command
16.65u","terminated
0.28s","by
18.04t","signal
2688kb"
bubble_sort,-O3,medium_data.txt,"Command
16.72u","terminated
0.03s","by
17.85t","signal
2304kb"
bubble_sort,-O3,large_data.txt,"Command
16.31u","terminated
0.03s","by
17.45t","signal
2176kb"
bubble_sort,-O3,small_data_float.txt,"Command
16.83u","terminated
0.02s","by
17.95t","signal
2560kb"
bubble_sort,-O3,medium_data_float.txt,"Command
15.33u","terminated
1.09s","by
17.51t","signal
2304kb"
bubble_sort,-O3,large_data_float.txt,"Command
16.60u","terminated
0.01s","by
17.72t","signal
2688kb"
bubble_sort,-Ofast,small_data.txt,"Command
17.40u","terminated
0.00s","by
18.50t","signal
2560kb"
bubble_sort,-Ofast,medium_data.txt,"Command
17.47u","terminated
0.01s","by
18.58t","signal
2304kb"
bubble_sort,-Ofast,large_data.txt,"Command
16.39u","terminated
0.52s","by
18.00t","signal
2688kb"
bubble_sort,-Ofast,small_data_float.txt,"Command
17.07u","terminated
0.02s","by
18.18t","signal
2176kb"
bubble_sort,-Ofast,medium_data_float.txt,"Command
16.81u","terminated
0.02s","by
17.93t","signal
2560kb"
bubble_sort,-Ofast,large_data_float.txt,"Command
16.64u","terminated
0.02s","by
17.76t","signal
2688kb"
heap_sort,-O0,small_data.txt,"Command
0.04u","terminated
0.00s","by
1.15t","signal
2304kb"
heap_sort,-O0,medium_data.txt,"Command
0.02u","terminated
0.02s","by
1.16t","signal
2304kb"
heap_sort,-O0,large_data.txt,"Command
0.05u","terminated
0.00s","by
1.19t","signal
2688kb"
heap_sort,-O0,small_data_float.txt,"Command
0.04u","terminated
0.00s","by
1.19t","signal
2688kb"
heap_sort,-O0,medium_data_float.txt,"Command
0.04u","terminated
0.00s","by
1.18t","signal
2688kb"
heap_sort,-O0,large_data_float.txt,"Command
0.04u","terminated
0.00s","by
1.17t","signal
2688kb"
heap_sort,-O1,small_data.txt,"Command
0.04u","terminated
0.00s","by
1.18t","signal
2688kb"
heap_sort,-O1,medium_data.txt,"Command
0.03u","terminated
0.00s","by
1.16t","signal
2688kb"
heap_sort,-O1,large_data.txt,"Command
0.02u","terminated
0.00s","by
1.14t","signal
2304kb"
heap_sort,-O1,small_data_float.txt,"Command
0.03u","terminated
0.00s","by
1.16t","signal
2688kb"
heap_sort,-O1,medium_data_float.txt,"Command
0.02u","terminated
0.01s","by
1.15t","signal
2688kb"
heap_sort,-O1,large_data_float.txt,"Command
0.04u","terminated
0.00s","by
1.16t","signal
2304kb"
heap_sort,-O2,small_data.txt,"Command
0.03u","terminated
0.00s","by
1.15t","signal
2304kb"
heap_sort,-O2,medium_data.txt,"Command
0.00u","terminated
0.02s","by
1.14t","signal
2688kb"
heap_sort,-O2,large_data.txt,"Command
0.04u","terminated
0.00s","by
1.16t","signal
2688kb"
heap_sort,-O2,small_data_float.txt,"Command
0.02u","terminated
0.00s","by
1.14t","signal
2176kb"
heap_sort,-O2,medium_data_float.txt,"Command
0.03u","terminated
0.00s","by
1.17t","signal
2688kb"
heap_sort,-O2,large_data_float.txt,"Command
0.03u","terminated
0.00s","by
1.16t","signal
2688kb"
heap_sort,-O3,small_data.txt,"Command
0.02u","terminated
0.00s","by
1.15t","signal
2176kb"
heap_sort,-O3,medium_data.txt,"Command
0.03u","terminated
0.00s","by
1.17t","signal
2688kb"
heap_sort,-O3,large_data.txt,"Command
0.02u","terminated
0.01s","by
1.16t","signal
2688kb"
heap_sort,-O3,small_data_float.txt,"Command
0.03u","terminated
0.00s","by
1.15t","signal
2688kb"
heap_sort,-O3,medium_data_float.txt,"Command
0.03u","terminated
0.00s","by
1.15t","signal
2688kb"
